	source	book	book_number	chapter	starting_verse	ending_verse	ten_commandments	hammurabi_law	hammurabi_epilogue	preamble	article	bill_of_rights	amendment	ethic
18	Mosaic	Exodus	2	13	12		False	False	False	False	False	False	False	That thou shalt set apart unto the Lord all that openeth the matrix, and every firstling that cometh of a beast which thou hast; the males shall be the Lord'S.
19	Mosaic	Exodus	2	13	13		False	False	False	False	False	False	False	And every firstling of an ass thou shalt redeem with a lamb; and if thou wilt not redeem it, then thou shalt break his neck: and all the firstborn of man among thy children shalt thou redeem.
20	Mosaic	Exodus	2	16	29		False	False	False	False	False	False	False	See, for that the Lord hath given you the sabbath, therefore he giveth you on the sixth day the bread of two days; abide ye every man in his place, let no man go out of his place on the seventh day.
21	Mosaic	Exodus	2	20	3		True	False	False	False	False	False	False	Thou shalt have no other gods before me.
22	Mosaic	Exodus	2	20	4		True	False	False	False	False	False	False	Thou shalt not make unto thee any graven image, or any likeness of any thing that is in heaven above, or that is in the earth beneath, or that is in the water under the earth:
23	Mosaic	Exodus	2	20	5		True	False	False	False	False	False	False	Thou shalt not bow down thyself to them, nor serve them: for I the Lord thy God am a jealous God, visiting the iniquity of the fathers upon the children unto the third and fourth generation of them that hate me;
24	Mosaic	Exodus	2	20	7		True	False	False	False	False	False	False	Thou shalt not take the name of the Lord thy God in vain; for the Lord will not hold him guiltless that taketh his name in vain.
25	Mosaic	Exodus	2	20	8		True	False	False	False	False	False	False	Remember the sabbath day, to keep it holy.
26	Mosaic	Exodus	2	20	10		True	False	False	False	False	False	False	But the seventh day is the sabbath of the Lord thy God: in it thou shalt not do any work, thou, nor thy son, nor thy daughter, thy manservant, nor thy maidservant, nor thy cattle, nor thy stranger that is within thy gates:
27	Mosaic	Exodus	2	20	12		True	False	False	False	False	False	False	Honour thy father and thy mother: that thy days may be long upon the land which the Lord thy God giveth thee.
28	Mosaic	Exodus	2	20	13		True	False	False	False	False	False	False	Thou shalt not kill.
29	Mosaic	Exodus	2	20	14		True	False	False	False	False	False	False	Thou shalt not commit adultery.
30	Mosaic	Exodus	2	20	15		True	False	False	False	False	False	False	Thou shalt not steal.
31	Mosaic	Exodus	2	20	16		True	False	False	False	False	False	False	Thou shalt not bear false witness against thy neighbour.
32	Mosaic	Exodus	2	20	17		True	False	False	False	False	False	False	Thou shalt not covet thy neighbour's house, thou shalt not covet thy neighbour's wife, nor his manservant, nor his maidservant, nor his ox, nor his ass, nor any thing that is thy neighbour's.
33	Mosaic	Exodus	2	20	23		False	False	False	False	False	False	False	Ye shall not make with me gods of silver, neither shall ye make unto you gods of gold.
34	Mosaic	Exodus	2	20	24		False	False	False	False	False	False	False	An altar of earth thou shalt make unto me, and shalt sacrifice thereon thy burnt offerings, and thy peace offerings, thy sheep, and thine oxen: in all places where I record my name I will come unto thee, and I will bless thee.
35	Mosaic	Exodus	2	20	26		False	False	False	False	False	False	False	Neither shalt thou go up by steps unto mine altar, that thy nakedness be not discovered thereon.
36	Mosaic	Exodus	2	21	2		False	False	False	False	False	False	False	If thou buy an Hebrew servant, six years he shall serve: and in the seventh he shall go out free for nothing.
37	Mosaic	Exodus	2	21	8		False	False	False	False	False	False	False	If she please not her master, who hath betrothed her to himself, then shall he let her be redeemed: to sell her unto a strange nation he shall have no power, seeing he hath dealt deceitfully with her.
38	Mosaic	Exodus	2	21	10		False	False	False	False	False	False	False	If he take him another wife; her food, her raiment, and her duty of marriage, shall he not diminish.
39	Mosaic	Exodus	2	21	15		False	False	False	False	False	False	False	And he that smiteth his father, or his mother, shall be surely put to death.
40	Mosaic	Exodus	2	21	17		False	False	False	False	False	False	False	And he that curseth his father, or his mother, shall surely be put to death.
41	Mosaic	Exodus	2	21	18		False	False	False	False	False	False	False	And if men strive together, and one smite another with a stone, or with his fist, and he die not, but keepeth his bed:
42	Mosaic	Exodus	2	21	20		False	False	False	False	False	False	False	And if a man smite his servant, or his maid, with a rod, and he die under his hand; he shall be surely punished.
43	Mosaic	Exodus	2	21	28		False	False	False	False	False	False	False	If an ox gore a man or a woman, that they die: then the ox shall be surely stoned, and his flesh shall not be eaten; but the owner of the ox shall be quit.
44	Mosaic	Exodus	2	21	34		False	False	False	False	False	False	False	The owner of the pit shall make it good, and give money unto the owner of them; and the dead beast shall be his.
45	Mosaic	Exodus	2	21	36		False	False	False	False	False	False	False	Or if it be known that the ox hath used to push in time past, and his owner hath not kept him in; he shall surely pay ox for ox; and the dead shall be his own.
46	Mosaic	Exodus	2	22	4		False	False	False	False	False	False	False	If the theft be certainly found in his hand alive, whether it be ox, or ass, or sheep; he shall restore double.
47	Mosaic	Exodus	2	22	5		False	False	False	False	False	False	False	If a man shall cause a field or vineyard to be eaten, and shall put in his beast, and shall feed in another man's field; of the best of his own field, and of the best of his own vineyard, shall he make restitution.
48	Mosaic	Exodus	2	22	6		False	False	False	False	False	False	False	If fire break out, and catch in thorns, so that the stacks of corn, or the standing corn, or the field, be consumed therewith; he that kindled the fire shall surely make restitution.
49	Mosaic	Exodus	2	22	8		False	False	False	False	False	False	False	If the thief be not found, then the master of the house shall be brought unto the judges, to see whether he have put his hand unto his neighbour's goods.
50	Mosaic	Exodus	2	22	9		False	False	False	False	False	False	False	For all manner of trespass, whether it be for ox, for ass, for sheep, for raiment, or for any manner of lost thing, which another challengeth to be his, the cause of both parties shall come before the judges; and whom the judges shall condemn, he shall pay double unto his neighbour.
51	Mosaic	Exodus	2	22	13		False	False	False	False	False	False	False	If it be torn in pieces, then let him bring it for witness, and he shall not make good that which was torn.
52	Mosaic	Exodus	2	22	16	17	False	False	False	False	False	False	False	And if a man entice a maid that is not betrothed, and lie with her, he shall surely endow her to be his wife. If her father utterly refuse to give her unto him, he shall pay money according to the dowry of virgins.
53	Mosaic	Exodus	2	22	18		False	False	False	False	False	False	False	Thou shalt not suffer a witch to live.
54	Mosaic	Exodus	2	22	21		False	False	False	False	False	False	False	Thou shalt neither vex a stranger, nor oppress him: for ye were strangers in the land of Egypt.
55	Mosaic	Exodus	2	22	22		False	False	False	False	False	False	False	Ye shall not afflict any widow, or fatherless child.
56	Mosaic	Exodus	2	22	25		False	False	False	False	False	False	False	If thou lend money to any of my people that is poor by thee, thou shalt not be to him as an usurer, neither shalt thou lay upon him usury.
57	Mosaic	Exodus	2	22	28		False	False	False	False	False	False	False	Thou shalt not revile the gods, nor curse the ruler of thy people.
58	Mosaic	Exodus	2	22	29		False	False	False	False	False	False	False	Thou shalt not delay to offer the first of thy ripe fruits, and of thy liquors: the firstborn of thy sons shalt thou give unto me.
59	Mosaic	Exodus	2	22	30		False	False	False	False	False	False	False	Likewise shalt thou do with thine oxen, and with thy sheep: seven days it shall be with his dam; on the eighth day thou shalt give it me.
60	Mosaic	Exodus	2	23	1		False	False	False	False	False	False	False	Thou shalt not raise a false report: put not thine hand with the wicked to be an unrighteous witness.
61	Mosaic	Exodus	2	23	2		False	False	False	False	False	False	False	Thou shalt not follow a multitude to do evil; neither shalt thou speak in a cause to decline after many to wrest judgment:
62	Mosaic	Exodus	2	23	3		False	False	False	False	False	False	False	Neither shalt thou countenance a poor man in his cause.
63	Mosaic	Exodus	2	23	5		False	False	False	False	False	False	False	If thou see the ass of him that hateth thee lying under his burden, and wouldest forbear to help him, thou shalt surely help with him.
64	Mosaic	Exodus	2	23	6		False	False	False	False	False	False	False	Thou shalt not wrest the judgment of thy poor in his cause.
65	Mosaic	Exodus	2	23	7		False	False	False	False	False	False	False	eep thee far from a false matter; and the innocent and righteous slay thou not: for I will not justify the wicked.
66	Mosaic	Exodus	2	23	8		False	False	False	False	False	False	False	And thou shalt take no gift: for the gift blindeth the wise, and perverteth the words of the righteous.
67	Mosaic	Exodus	2	23	11		False	False	False	False	False	False	False	But the seventh year thou shalt let it rest and lie still; that the poor of thy people may eat: and what they leave the beasts of the field shall eat. In like manner thou shalt deal with thy vineyard, and with thy oliveyard.
68	Mosaic	Exodus	2	23	12		False	False	False	False	False	False	False	Six days thou shalt do thy work, and on the seventh day thou shalt rest: that thine ox and thine ass may rest, and the son of thy handmaid, and the stranger, may be refreshed.
69	Mosaic	Exodus	2	23	13		False	False	False	False	False	False	False	And in all things that I have said unto you be circumspect: and make no mention of the name of other gods, neither let it be heard out of thy mouth.
70	Mosaic	Exodus	2	23	14		False	False	False	False	False	False	False	Three times thou shalt keep a feast unto me in the year.
71	Mosaic	Exodus	2	23	18		False	False	False	False	False	False	False	Thou shalt not offer the blood of my sacrifice with leavened bread; neither shall the fat of my sacrifice remain until the morning.
72	Mosaic	Exodus	2	23	19		False	False	False	False	False	False	False	The first of the firstfruits of thy land thou shalt bring into the house of the Lord thy God. Thou shalt not seethe a kid in his mother's milk.
73	Mosaic	Exodus	2	23	25		False	False	False	False	False	False	False	And ye shall serve the Lord your God, and he shall bless thy bread, and thy water; and I will take sickness away from the midst of thee.
74	Mosaic	Exodus	2	23	33		False	False	False	False	False	False	False	They shall not dwell in thy land, lest they make thee sin against me: for if thou serve their gods, it will surely be a snare unto thee.
75	Mosaic	Exodus	2	25	8		False	False	False	False	False	False	False	And let them make me a sanctuary; that I may dwell among them.
76	Mosaic	Exodus	2	25	15		False	False	False	False	False	False	False	The staves shall be in the rings of the ark: they shall not be taken from it.
77	Mosaic	Exodus	2	25	30		False	False	False	False	False	False	False	And thou shalt set upon the table shewbread before me alway.
78	Mosaic	Exodus	2	27	21		False	False	False	False	False	False	False	In the tabernacle of the congregation without the vail, which is before the testimony, Aaron and his sons shall order it from evening to morning before the Lord: it shall be a statute for ever unto their generations on the behalf of the children of Israel.
79	Mosaic	Exodus	2	28	2		False	False	False	False	False	False	False	And thou shalt make holy garments for Aaron thy brother for glory and for beauty.
80	Mosaic	Exodus	2	28	28		False	False	False	False	False	False	False	And they shall bind the breastplate by the rings thereof unto the rings of the ephod with a lace of blue, that it may be above the curious girdle of the ephod, and that the breastplate be not loosed from the ephod.
81	Mosaic	Exodus	2	28	32		False	False	False	False	False	False	False	And there shall be an hole in the top of it, in the midst thereof: it shall have a binding of woven work round about the hole of it, as it were the hole of an habergeon, that it be not rent.
82	Mosaic	Exodus	2	29	33		False	False	False	False	False	False	False	And they shall eat those things wherewith the atonement was made, to consecrate and to sanctify them: but a stranger shall not eat thereof, because they are holy.
83	Mosaic	Exodus	2	30	7		False	False	False	False	False	False	False	And Aaron shall burn thereon sweet incense every morning: when he dresseth the lamps, he shall burn incense upon it.
84	Mosaic	Exodus	2	30	9		False	False	False	False	False	False	False	Ye shall offer no strange incense thereon, nor burnt sacrifice, nor meat offering; neither shall ye pour drink offering thereon.
85	Mosaic	Exodus	2	30	13		False	False	False	False	False	False	False	This they shall give, every one that passeth among them that are numbered, half a shekel after the shekel of the sanctuary: (a shekel is twenty gerahs:) an half shekel shall be the offering of the Lord.
86	Mosaic	Exodus	2	30	19		False	False	False	False	False	False	False	For Aaron and his sons shall wash their hands and their feet thereat:
87	Mosaic	Exodus	2	30	31		False	False	False	False	False	False	False	And thou shalt speak unto the children of Israel, saying, This shall be an holy anointing oil unto me throughout your generations.
88	Mosaic	Exodus	2	30	32		False	False	False	False	False	False	False	Upon man's flesh shall it not be poured, neither shall ye make any other like it, after the composition of it: it is holy, and it shall be holy unto you.
89	Mosaic	Exodus	2	30	37		False	False	False	False	False	False	False	And as for the perfume which thou shalt make, ye shall not make to yourselves according to the composition thereof: it shall be unto thee holy for the Lord.
90	Mosaic	Exodus	2	34	21		False	False	False	False	False	False	False	Six days thou shalt work, but on the seventh day thou shalt rest: in earing time and in harvest thou shalt rest.
91	Mosaic	Exodus	2	34	26		False	False	False	False	False	False	False	The first of the firstfruits of thy land thou shalt bring unto the house of the Lord thy God. Thou shalt not seethe a kid in his mother's milk.
92	Mosaic	Exodus	2	35	3		False	False	False	False	False	False	False	Ye shall kindle no fire throughout your habitations upon the sabbath day.
93	Mosaic	Leviticus	3	1	3		False	False	False	False	False	False	False	If his offering be a burnt sacrifice of the herd, let him offer a male without blemish: he shall offer it of his own voluntary will at the door of the tabernacle of the congregation before the Lord.
94	Mosaic	Leviticus	3	2	1		False	False	False	False	False	False	False	And when any will offer a meat offering unto the Lord, his offering shall be of fine flour; and he shall pour oil upon it, and put frankincense thereon:
95	Mosaic	Leviticus	3	2	11		False	False	False	False	False	False	False	No meat offering, which ye shall bring unto the Lord, shall be made with leaven: for ye shall burn no leaven, nor any honey, in any offering of the Lord made by fire.
96	Mosaic	Leviticus	3	2	13		False	False	False	False	False	False	False	And every oblation of thy meat offering shalt thou season with salt; neither shalt thou suffer the salt of the covenant of thy God to be lacking from thy meat offering: with all thine offerings thou shalt offer salt.
97	Mosaic	Leviticus	3	3	17		False	False	False	False	False	False	False	It shall be a perpetual statute for your generations throughout all your dwellings, that ye eat neither fat nor blood.
98	Mosaic	Leviticus	3	4	13	14	False	False	False	False	False	False	False	And if the whole congregation of Israel sin through ignorance, and the thing be hid from the eyes of the assembly, and they have done somewhat against any of the commandments of the Lord concerning things which should not be done, and are guilty; When the sin, which they have sinned against it, is known, then the congregation shall offer a young bullock for the sin, and bring him before the tabernacle of the congregation.
99	Mosaic	Leviticus	3	4	27	28	False	False	False	False	False	False	False	And if any one of the common people sin through ignorance, while he doeth somewhat against any of the commandments of the Lord concerning things which ought not to be done, and be guilty; Or if his sin, which he hath sinned, come to his knowledge: then he shall bring his offering, a kid of the goats, a female without blemish, for his sin which he hath sinned.
100	Mosaic	Leviticus	3	5	1		False	False	False	False	False	False	False	And if a soul sin, and hear the voice of swearing, and is a witness, whether he hath seen or known of it; if he do not utter it, then he shall bear his iniquity.
101	Mosaic	Leviticus	3	5	7	11	False	False	False	False	False	False	False	And if he be not able to bring a lamb, then he shall bring for his trespass, which he hath committed, two turtledoves, or two young pigeons, unto the Lord; one for a sin offering, and the other for a burnt offering. And he shall bring them unto the priest, who shall offer that which is for the sin offering first, and wring off his head from his neck, but shall not divide it asunder: And he shall sprinkle of the blood of the sin offering upon the side of the altar; and the rest of the blood shall be wrung out at the bottom of the altar: it is a sin offering. And he shall offer the second for a burnt offering, according to the manner: and the priest shall make an atonement for him for his sin which he hath sinned, and it shall be forgiven him. But if he be not able to bring two turtledoves, or two young pigeons, then he that sinned shall bring for his offering the tenth part of an ephah of fine flour for a sin offering; he shall put no oil upon it, neither shall he put any frankincense thereon: for it is a sin offering.
102	Mosaic	Leviticus	3	5	8		False	False	False	False	False	False	False	And he shall bring them unto the priest, who shall offer that which is for the sin offering first, and wring off his head from his neck, but shall not divide it asunder:
103	Mosaic	Leviticus	3	5	11		False	False	False	False	False	False	False	But if he be not able to bring two turtledoves, or two young pigeons, then he that sinned shall bring for his offering the tenth part of an ephah of fine flour for a sin offering; he shall put no oil upon it, neither shall he put any frankincense thereon: for it is a sin offering.
104	Mosaic	Leviticus	3	5	16		False	False	False	False	False	False	False	And he shall make amends for the harm that he hath done in the holy thing, and shall add the fifth part thereto, and give it unto the priest: and the priest shall make an atonement for him with the ram of the trespass offering, and it shall be forgiven him.
105	Mosaic	Leviticus	3	5	17	18	False	False	False	False	False	False	False	And if a soul sin, and commit any of these things which are forbidden to be done by the commandments of the Lord; though he wist it not, yet is he guilty, and shall bear his iniquity. And he shall bring a ram without blemish out of the flock, with thy estimation, for a trespass offering, unto the priest: and the priest shall make an atonement for him concerning his ignorance wherein he erred and wist it not, and it shall be forgiven him.
106	Mosaic	Leviticus	3	6	3		False	False	False	False	False	False	False	Or have found that which was lost, and lieth concerning it, and sweareth falsely; in any of all these that a man doeth, sinning therein:
107	Mosaic	Leviticus	3	6	4	5	False	False	False	False	False	False	False	Then it shall be, because he hath sinned, and is guilty, that he shall restore that which he took violently away, or the thing which he hath deceitfully gotten, or that which was delivered him to keep, or the lost thing which he found, Or all that about which he hath sworn falsely; he shall even restore it in the principal, and shall add the fifth part more thereto, and give it unto him to whom it appertaineth, in the day of his trespass offering.
108	Mosaic	Leviticus	3	6	5		False	False	False	False	False	False	False	Or all that about which he hath sworn falsely; he shall even restore it in the principal, and shall add the fifth part more thereto, and give it unto him to whom it appertaineth, in the day of his trespass offering.
109	Mosaic	Leviticus	3	6	6		False	False	False	False	False	False	False	And he shall bring his trespass offering unto the Lord, a ram without blemish out of the flock, with thy estimation, for a trespass offering, unto the priest:
110	Mosaic	Leviticus	3	6	9		False	False	False	False	False	False	False	Command Aaron and his sons, saying, This is the law of the burnt offering: It is the burnt offering, because of the burning upon the altar all night unto the morning, and the fire of the altar shall be burning in it.
111	Mosaic	Leviticus	3	6	10		False	False	False	False	False	False	False	And the priest shall put on his linen garment, and his linen breeches shall he put upon his flesh, and take up the ashes which the fire hath consumed with the burnt offering on the altar, and he shall put them beside the altar.
112	Mosaic	Leviticus	3	6	13		False	False	False	False	False	False	False	The fire shall ever be burning upon the altar; it shall never go out.
113	Mosaic	Leviticus	3	6	16		False	False	False	False	False	False	False	And the remainder thereof shall Aaron and his sons eat: with unleavened bread shall it be eaten in the holy place; in the court of the tabernacle of the congregation they shall eat it.
114	Mosaic	Leviticus	3	6	18		False	False	False	False	False	False	False	All the males among the children of Aaron shall eat of it. It shall be a statute for ever in your generations concerning the offerings of the Lord made by fire: every one that toucheth them shall be holy.
115	Mosaic	Leviticus	3	6	23		False	False	False	False	False	False	False	For every meat offering for the priest shall be wholly burnt: it shall not be eaten.
116	Mosaic	Leviticus	3	7	1		False	False	False	False	False	False	False	Likewise this is the law of the trespass offering: it is most holy.
117	Mosaic	Leviticus	3	7	11		False	False	False	False	False	False	False	And this is the law of the sacrifice of peace offerings, which he shall offer unto the Lord.
118	Mosaic	Leviticus	3	7	17		False	False	False	False	False	False	False	But the remainder of the flesh of the sacrifice on the third day shall be burnt with fire.
119	Mosaic	Leviticus	3	7	18		False	False	False	False	False	False	False	And if any of the flesh of the sacrifice of his peace offerings be eaten at all on the third day, it shall not be accepted, neither shall it be imputed unto him that offereth it: it shall be an abomination, and the soul that eateth of it shall bear his iniquity.
120	Mosaic	Leviticus	3	7	19		False	False	False	False	False	False	False	And the flesh that toucheth any unclean thing shall not be eaten; it shall be burnt with fire: and as for the flesh, all that be clean shall eat thereof.
121	Mosaic	Leviticus	3	7	20		False	False	False	False	False	False	False	But the soul that eateth of the flesh of the sacrifice of peace offerings, that pertain unto the Lord, having his uncleanness upon him, even that soul shall be cut off from his people.
122	Mosaic	Leviticus	3	10	6		False	False	False	False	False	False	False	And Moses said unto Aaron, and unto Eleazar and unto Ithamar, his sons, Uncover not your heads, neither rend your clothes; lest ye die, and lest wrath come upon all the people: but let your brethren, the whole house of Israel, bewail the burning which the Lord hath kindled.
123	Mosaic	Leviticus	3	10	7		False	False	False	False	False	False	False	And ye shall not go out from the door of the tabernacle of the congregation, lest ye die: for the anointing oil of the Lord is upon you. And they did according to the word of Moses.
124	Mosaic	Leviticus	3	10	9		False	False	False	False	False	False	False	Do not drink wine nor strong drink, thou, nor thy sons with thee, when ye go into the tabernacle of the congregation, lest ye die: it shall be a statute for ever throughout your generations:
125	Mosaic	Leviticus	3	10	19		False	False	False	False	False	False	False	And Aaron said unto Moses, Behold, this day have they offered their sin offering and their burnt offering before the Lord; and such things have befallen me: and if I had eaten the sin offering to day, should it have been accepted in the sight of the Lord?
126	Mosaic	Leviticus	3	11	2		False	False	False	False	False	False	False	Speak unto the children of Israel, saying, These are the beasts which ye shall eat among all the beasts that are on the earth.
127	Mosaic	Leviticus	3	11	4		False	False	False	False	False	False	False	Nevertheless these shall ye not eat of them that chew the cud, or of them that divide the hoof: as the camel, because he cheweth the cud, but divideth not the hoof; he is unclean unto you.
128	Mosaic	Leviticus	3	11	9		False	False	False	False	False	False	False	These shall ye eat of all that are in the waters: whatsoever hath fins and scales in the waters, in the seas, and in the rivers, them shall ye eat.
129	Mosaic	Leviticus	3	11	11		False	False	False	False	False	False	False	They shall be even an abomination unto you; ye shall not eat of their flesh, but ye shall have their carcases in abomination.
130	Mosaic	Leviticus	3	11	13		False	False	False	False	False	False	False	And these are they which ye shall have in abomination among the fowls; they shall not be eaten, they are an abomination: the eagle, and the ossifrage, and the ospray,
131	Mosaic	Leviticus	3	11	21		False	False	False	False	False	False	False	Yet these may ye eat of every flying creeping thing that goeth upon all four, which have legs above their feet, to leap withal upon the earth;
132	Mosaic	Leviticus	3	11	29		False	False	False	False	False	False	False	These also shall be unclean unto you among the creeping things that creep upon the earth; the weasel, and the mouse, and the tortoise after his kind,
133	Mosaic	Leviticus	3	11	34		False	False	False	False	False	False	False	Of all meat which may be eaten, that on which such water cometh shall be unclean: and all drink that may be drunk in every such vessel shall be unclean.
134	Mosaic	Leviticus	3	11	39		False	False	False	False	False	False	False	And if any beast, of which ye may eat, die; he that toucheth the carcase thereof shall be unclean until the even.
135	Mosaic	Leviticus	3	11	41		False	False	False	False	False	False	False	And every creeping thing that creepeth upon the earth shall be an abomination; it shall not be eaten.
136	Mosaic	Leviticus	3	11	42		False	False	False	False	False	False	False	Whatsoever goeth upon the belly, and whatsoever goeth upon all four, or whatsoever hath more feet among all creeping things that creep upon the earth, them ye shall not eat; for they are an abomination.
137	Mosaic	Leviticus	3	11	43		False	False	False	False	False	False	False	Ye shall not make yourselves abominable with any creeping thing that creepeth, neither shall ye make yourselves unclean with them, that ye should be defiled thereby.
138	Mosaic	Leviticus	3	11	44		False	False	False	False	False	False	False	For I am the Lord your God: ye shall therefore sanctify yourselves, and ye shall be holy; for I am holy: neither shall ye defile yourselves with any manner of creeping thing that creepeth upon the earth.
139	Mosaic	Leviticus	3	12	2		False	False	False	False	False	False	False	Speak unto the children of Israel, saying, If a woman have conceived seed, and born a man child: then she shall be unclean seven days; according to the days of the separation for her infirmity shall she be unclean.
140	Mosaic	Leviticus	3	12	3		False	False	False	False	False	False	False	And in the eighth day the flesh of his foreskin shall be circumcised.
141	Mosaic	Leviticus	3	12	6		False	False	False	False	False	False	False	And when the days of her purifying are fulfilled, for a son, or for a daughter, she shall bring a lamb of the first year for a burnt offering, and a young pigeon, or a turtledove, for a sin offering, unto the door of the tabernacle of the congregation, unto the priest:
142	Mosaic	Leviticus	3	13	12		False	False	False	False	False	False	False	And if a leprosy break out abroad in the skin, and the leprosy cover all the skin of him that hath the plague from his head even to his foot, wheresoever the priest looketh;
143	Mosaic	Leviticus	3	13	33		False	False	False	False	False	False	False	He shall be shaven, but the scall shall he not shave; and the priest shall shut up him that hath the scall seven days more:
144	Mosaic	Leviticus	3	13	45		False	False	False	False	False	False	False	And the leper in whom the plague is, his clothes shall be rent, and his head bare, and he shall put a covering upon his upper lip, and shall cry, Unclean, unclean.
145	Mosaic	Leviticus	3	13	47		False	False	False	False	False	False	False	The garment also that the plague of leprosy is in, whether it be a woollen garment, or a linen garment;
146	Mosaic	Leviticus	3	14	2		False	False	False	False	False	False	False	This shall be the law of the leper in the day of his cleansing: He shall be brought unto the priest:
147	Mosaic	Leviticus	3	14	9		False	False	False	False	False	False	False	But it shall be on the seventh day, that he shall shave all his hair off his head and his beard and his eyebrows, even all his hair he shall shave off: and he shall wash his clothes, also he shall wash his flesh in water, and he shall be clean.
148	Mosaic	Leviticus	3	14	10		False	False	False	False	False	False	False	And on the eighth day he shall take two he lambs without blemish, and one ewe lamb of the first year without blemish, and three tenth deals of fine flour for a meat offering, mingled with oil, and one log of oil.
149	Mosaic	Leviticus	3	14	35		False	False	False	False	False	False	False	And he that owneth the house shall come and tell the priest, saying, It seemeth to me there is as it were a plague in the house:
150	Mosaic	Leviticus	3	15	3		False	False	False	False	False	False	False	And this shall be his uncleanness in his issue: whether his flesh run with his issue, or his flesh be stopped from his issue, it is his uncleanness.
151	Mosaic	Leviticus	3	15	13	14	False	False	False	False	False	False	False	And when he that hath an issue is cleansed of his issue; then he shall number to himself seven days for his cleansing, and wash his clothes, and bathe his flesh in running water, and shall be clean. And on the eighth day he shall take to him two turtledoves, or two young pigeons, and come before the Lord unto the door of the tabernacle of the congregation, and give them unto the priest:
152	Mosaic	Leviticus	3	15	16		False	False	False	False	False	False	False	And if any man's seed of copulation go out from him, then he shall wash all his flesh in water, and be unclean until the even.
153	Mosaic	Leviticus	3	15	19		False	False	False	False	False	False	False	And if a woman have an issue, and her issue in her flesh be blood, she shall be put apart seven days: and whosoever toucheth her shall be unclean until the even.
154	Mosaic	Leviticus	3	15	25		False	False	False	False	False	False	False	And if a woman have an issue of her blood many days out of the time of her separation, or if it run beyond the time of her separation; all the days of the issue of her uncleanness shall be as the days of her separation: she shall be unclean.
